Timestamp,Username,Role,Action
12-05-2025 18:58,XF6N0R4,admin,Successful login
12-05-2025 19:04,QTK2J0L,management,Successful login
12-05-2025 19:06,WFLBAR0,management,Successful login
12-05-2025 19:17,USOOUA9,management,Successful login
12-05-2025 19:19,USOOUA9,management,Successful login
12-05-2025 19:32,USOOUA9,management,Successful login
12-05-2025 19:42,DXMMOQP,admin,Successful login
12-05-2025 19:43,SBZ1F4J,management,Successful login
12-05-2025 19:50,QTK2J0L,management,Successful login
12-05-2025 19:55,32HEOJI,management,Successful login
12-05-2025 19:57,78J8RZD,management,Successful login
12-05-2025 19:59,USOOUA9,management,Successful login
12-05-2025 20:01,USOOUA9,management,Successful login
12-05-2025 20:04,32HEOJI,management,Successful login
12-05-2025 20:07,32HEOJI,management,Successful login
12-05-2025 20:12,32HEOJI,management,Failed: wrong password
12-05-2025 20:13,32HEOJI,management,Failed: wrong password
12-05-2025 20:13,78J8RZD,management,Successful login
12-05-2025 20:32,USOOUA9,management,Successful login
12-05-2025 20:42,32HEOJI,management,Successful login
